state,date,zhvi,RegionID,SizeRank,RegionType,StateName,mortgage_rate,cpi,unemployment_rate,median_household_income,monthly_rate,loan_amount,monthly_payment,monthly_income,affordability_ratio
Alabama,2000-01-31,101085.64663440206,4,23,state,,8.21,169.3,4.0,71790.0,0.006841666666666667,80868.51730752166,706.3512559883982,5982.5,8.46958216507831
Alabama,2000-02-29,101261.6731283091,4,23,state,,8.325,170.0,4.1,71790.0,0.006937499999999999,81009.3385026473,714.1343226677753,5982.5,8.377275549019
Alabama,2000-03-31,101379.61430397502,4,23,state,,8.24,171.0,4.0,71790.0,0.006866666666666667,81103.69144318003,710.1144894028392,5982.5,8.424697832923954
Alabama,2000-04-30,101643.83785139868,4,23,state,,8.1525,170.9,3.8,71790.0,0.00679375,81315.07028111895,706.9721803953038,5982.5,8.462143441987891
Alabama,2000-05-31,101938.53628549744,4,23,state,,8.515,171.2,4.0,71790.0,0.007095833333333333,81550.82902839796,729.8609978452738,5982.5,8.196766257769339
Alabama,2000-06-30,102294.838500354,4,23,state,,8.288,172.2,4.0,71790.0,0.006906666666666668,81835.87080028321,719.2879687708025,5982.5,8.317252977584968
Alabama,2000-07-31,102624.76074962858,4,23,state,,8.1475,172.7,4.0,71790.0,0.006789583333333334,82099.80859970287,713.5072509080413,5982.5,8.384637987051152
Alabama,2000-08-31,102922.91156845966,4,23,state,,8.0275,172.7,4.1,71790.0,0.006689583333333333,82338.32925476774,708.6716380550774,5982.5,8.441850468883933
Alabama,2000-09-30,103242.73210865929,4,23,state,,7.912000000000001,173.6,3.9,71790.0,0.006593333333333334,82594.18568692743,704.2304292792163,5982.5,8.495088754007863
Alabama,2000-10-31,103609.7108449666,4,23,state,,7.795,173.9,3.9,71790.0,0.0064958333333333335,82887.76867597329,700.0074295674173,5982.5,8.546337863438104
Alabama,2000-11-30,104025.12001414724,4,23,state,,7.745,174.2,3.9,71790.0,0.006454166666666667,83220.0960113178,699.9365647579795,5982.5,8.547203134142018
Alabama,2000-12-31,104485.09234163164,4,23,state,,7.382,174.6,3.9,71790.0,0.006151666666666666,83588.07387330531,682.2059767682643,5982.5,8.769345628339709
Alabama,2001-01-31,104998.9000189491,4,23,state,,7.0325,175.6,4.2,70610.0,0.0058604166666666666,83999.1200151593,665.6817817580438,5884.166666666667,8.83930855239387
Alabama,2001-02-28,105434.04277927575,4,23,state,,7.05,176.0,4.2,70610.0,0.005874999999999999,84347.23422342062,669.4335144685367,5884.166666666667,8.78977006602083
Alabama,2001-03-31,105792.6365056972,4,23,state,,6.952,176.1,4.3,70610.0,0.0057933333333333335,84634.10920455777,666.139805002761,5884.166666666667,8.833230836043912
Alabama,2001-04-30,106051.18728198124,4,23,state,,7.0775,176.4,4.4,70610.0,0.005897916666666666,84840.949825585,674.9228922058161,5884.166666666667,8.718279872587734
Alabama,2001-05-31,106307.18014779876,4,23,state,,7.145,177.3,4.3,70610.0,0.005954166666666667,85045.74411823902,680.4246143325452,5884.166666666667,8.64778631272573
Alabama,2001-06-30,106570.7650935038,4,23,state,,7.159999999999999,177.7,4.5,70610.0,0.005966666666666666,85256.61207480304,682.9758126594782,5884.166666666667,8.615483239082769
Alabama,2001-07-31,106868.974084244,4,23,state,,7.1275,177.4,4.6,70610.0,0.005939583333333334,85495.1792673952,683.0101049601377,5884.166666666667,8.615050676314786
Alabama,2001-08-31,107134.14923759091,4,23,state,,6.95,177.4,4.9,70610.0,0.005791666666666667,85707.31939007273,674.4719555542115,5884.166666666667,8.724108716768907
Alabama,2001-09-30,107432.10346603944,4,23,state,,6.8175,178.1,5.0,70610.0,0.00568125,85945.68277283155,668.7358892367384,5884.166666666667,8.798939553524724
Alabama,2001-10-31,107774.57925075632,4,23,state,,6.6175,177.6,5.3,70610.0,0.005514583333333333,86219.66340060506,659.4210327095684,5884.166666666667,8.9232317059839
